politician_name,revision_id
Antoine Brun,1179322005
August De Boodt,1140361651
Auguste Couvreur,1058540061
Dirk De fauw,1248580125
Fernand Cocq,1243330963
Marcel de Baer,1221734112
Norbert De Cuyper,1165947877
Marc Drumaux,1250856746
Veerle Geerinckx,1246136139
Victor de Laveleye,1173454330
Guy Hance,1217126753
Jacques Grippa,1226329636
Joris Helleputte,1051591828
Jules Hiernaux,1194388133
Julien Goekint,1149315537
Julius Hoste Jr.,1215066294
Lucienne Herman-Michielsens,1235711895
Norbert Hougardy,1139979372
Dorah Ilunga,1183327367
Georges Kaeckenbeeck,1212308026
Joseph Houssa,1109576011
Milou Jeunehomme,1136573750
Pierre Imperiali,1189630357
Pierre Van Humbeeck,1136575793
Vincent Houssiau,1145182533
Fientje Moerman,1251093424
Jean-Marie Piret,1140972331
Jean Pede,1179788619
Luc Michel,1178923770
Marjet Van Puymbroeck,1233204055
Rachid Madrane,1188233504
Willy Kuijpers,1105018002
Adolphe Van Glabbeke,1224501115
Alfons Siffer,1044386557
Cyrille Tahay,1244463135
Father Samuel,1249920109
Gustave Rolin-Jaequemyns,1236873042
Hippolyte Rolin,1029822060
Jacques Timmermans,1243748132
Jean Richardot the Younger,1143555621
Louis-Joseph Seutin,1233472654
Robert Urbain,1073906467
Jacques Van Gompel,1136564688
Jacques van Ypersele de Strihou,1162861355
Johan Verbeke,1247551813
Lodewijk Verreycken,1235733819
Louis Waltniel,1058900581
Roger Windels,1185742670
Yvan Verougstraete,1250929396
Yves de Wasseige,1175107156
Alexander Albert Hunter,1247370963
Basilio Ah,1242446129
Bert Tucker,1215561378
Beverly Castillo,1171859695
Charles Bartlett Hyde,1247370983
Elfreda Reyes,1225001639
Glenn Godfrey,1239031792
Nemencio Acosta,1216990637
Woldrich Harrison Courtenay,1237091310
Arouna Mama,1162194883
D. N. Dhungyel,1226923015
Dorjee Wangmo,1060085965
Francis Covi,1197447438
Jules-Armand Aniambossou,1248386169
Louis Hunkanrin,1212917164
Louis Ignacio-Pinto,1192236303
Sefou Fagbohoun,1244960174
Zangley Dukpa,1068932528
Choida Jamtsho,1154610749
Choki Gyeltshen,967051066
Dorji Namgyal,1157335890
Dupthob,986218104
Kuenga Loday,1135378735
Rinzin Jamtsho,986219619
Sherub Gyeltshen,1151261156
Shingkhar Lam,1205968589
Tshewang Lhamo,1134603390
Chogyal Dago Rigdzin,1240180535
Jai Bir Rai,1247671463
Karma Rangdol,1140545677
Kinga Penjor,1029727171
Kunzang C. Namgyel,1157055139
Pema Chewang,1241911285
Pema Gyamtsho,1250135261
Thakur S. Powdyel,1184305239
Wangdi Norbu,1226646329
Yeshey Penjor,1154435788
Dorji Tshering,1205736909
Jigme Wangchuk,1076705305
Khandu Wangchuk,1225408958
Kinga Tshering,1220863731
Lhatu Wangchuk,1242666773
Loknath Sharma,1151281659
Namgay Tshering,1226645464
Sonam Tobgye,1211978424
Ugyen Tshering,1216960207
Dechen Zangmo,1212616003
Karma Donnen Wangdi,1150559998
Neten Zangmo,1244820972
Nidup Zangpo,1179648130
Norbu Wangchuk,1105642733
Tshencho Wangdi,935053725
Tshering Wangchuk,1227847643
Ugyen Wangdi,1010522641
Yeshey Zimba,1245331050
Agnelo Regalla,1189186057
Aristide Menezes,1142925183
Carmelita Pires,1185452679
Desejado Lima da Costa,1200012565
Florentino Mendes Pereira,1177678990
Juliano Fernandes,1015285975
Nataniel Aguirre,1226514494
Atanasio de Urioste Velasco,1227518654
Chi Hyun Chung,1241844844
Fernando Eloy Guachalla,1239045289
Marcial Fabricano,1064844718
Adolfo Mendoza,1214469646
Antonio Machaca,1219966135
Bonifacio Pinedo,1249373475
Julio Pinedo,1250888240
Manuel Luis de Oliden,1227718125
Manuel de Molina Zamudio,1234177241
Pedro Domingo Murillo,1234930001
Toribia Lero Quispe,1242300969
Fernando Vargas Mosua,1218741477
Edin Forto,1220369102
Hakija Pozderac,1184510646
Hamdija Pozderac,1195934285
Ismet Popovac,1231812222
Nurija Pozderac,1197296458
Leetile Disang Raditladi,1178476996
Milan Uzelac,1243511577
Philip Matante,1246418220
Cipriano Barata,1248173582
Djalma Bastos de Morais,1180933919
Irani Barbosa,1199631944
Jader Barbalho Filho,1153333232
Medeiros e Albuquerque,1176588076
Patrick van Rensburg,1247394394
Tobias de Aguiar,1226478932
Amador Bueno,1218000288
Izolda Cela,1246064910
Marcos Braz,1194912644
Margarete Coelho,1234976623
Miguel Couto,1237350838
Ademar Frederico Duwe,1232135695
Juscelino Filho,1187809146
Paulo Cesar Farias,1234365972
Abdul Hamid Sebba,1250026721
Almir Gabriel,1191964237
Camila Jourdan,1240746354
Joaquim Gomes de Souza,1176844004
Jofran Frejat,1159362123
Pedro Paulino de Fonseca,1217010787
Alceste Madeira,1247551254
Beto Mansur,1221098764
Londres Machado,1242607162
Ronaldo Lessa,1225265033
Sandra Meira Starling,1248440839
Vinicius Lummertz,1240160240
Carlos Eduardo Moreira Ferreira,1087824575
Claudio Modesto,1246064580
Dora Nascimento,1208121039
Gilmar Mendes,1242250612
Murilo Melo Filho,1233198027
Paulo Nani,1242343796
